Référence;Pays;Quantité;Support;Date_Publication;Groupe
VISTREETLOURDRED2;FR;425;STREET LOURD II;07/05/20;STREET LOURD II
FR0U91201671;FR;3;PLUS DETER;;PARAPLEGIQUE
FR0U91201670;FR;3;C EST NOUS;;PARAPLEGIQUE
FR9W11002867;FR;2;MA VILLE  MA CAPITALE;;STREET LOURD II
FR9W11002870;FR;2;FREESTYLE HALL STARS;;STREET LOURD II
FR0U91201676;FR;2;FUYEZ;;PARAPLEGIQUE
FR0U91201669;FR;1;CLIQUEZ;;PARAPLEGIQUE
FR0U91201675;FR;1;DECU;;PARAPLEGIQUE
FR2Z11100004;FR;1;FENWICK;;PARAPLEGIQUE
FR2Z11100005;FR;1;HORS CATEGORIE;;PARAPLEGIQUE
FR2Z11100006;FR;1;DANS TON KWAAH;;PARAPLEGIQUE
FR2Z11100009;FR;1;VIE DE GANGSTA;;PARAPLEGIQUE
FR0U91201673;FR;1;IMPOSTURE;;PARAPLEGIQUE
FR0U91201674;FR;1;T AURAIS VOULU;;PARAPLEGIQUE
FRU851000040;FR;1;OH  MERDE;;PARAPLEGIQUE
FR6V80418902;FR;1;A QUOI BON SERT;;STREET LOURD
FR2Z11200010;FR;1;JE PENSE;;PARAPLEGIQUE
FR2Z11200003;FR;1;PERE FOURRA;;PARAPLEGIQUE
FR6V80418906;FR;1;LA HASS;;STREET LOURD
FR6V80418918;FR;1;VNR;;STREET LOURD
FR6V80418909;FR;1;94 HALL STARS;;STREET LOURD
FR6V80418910;FR;1;PARCEQUE LE MONDE;;STREET LOURD
FR6V80418911;FR;1;EN MODE 1;;STREET LOURD
FR9W11002855;FR;1;RESTE PAS LA;;STREET LOURD II
FR9W11002854;FR;1;BOYS IN THE HOOD;;STREET LOURD II
FR6V80418920;FR;1;LE SANG DES TOURS;;STREET LOURD
FR9W11002857;FR;1;LA SUCCURSALE;;STREET LOURD II
FR9W11002861;FR;1;C DU LOURD RMX;;STREET LOURD II
FR9W11002860;FR;1;G H E T T O;;STREET LOURD II
FR9W11002868;FR;1;ENFANTS TERRIBLES;;STREET LOURD II
FR9W11002890;FR;1;LA DANSE DES LEURDEAS;;STREET LOURD II
